

------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,1,GALAXY S5,50001,1,50000,50000
,3,SMART TV,50003,1,60000,60000


,,,,,,,TOTAL:110000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,2001,PEN,70001,1,25000,25000
,2002,ERASER,70002,1,5,5
,1001,BASKET BALL,60002,1,2000,2000


,,,,,,,TOTAL:27005
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,1,GALAXY S5,50001,1,50000,50000


,,,,,,,TOTAL:50000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,1,GALAXY S5,50001,1,50000,50000
,1,GALAXY S5,50001,1,50000,50000
,1,GALAXY S5,50001,1,50000,50000


,,,,,,,TOTAL:150000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
